,Date,Open,Adj Close,Predicted_Label
266,2023-12-14,149.92999267578125,147.4199981689453,0
222,2023-12-27,153.55999755859375,153.33999633789062,0
270,2023-12-28,153.72000122070312,153.3800048828125,0
79,2024-01-04,145.58999633789062,144.57000732421875,0
29,2024-01-31,157.0,155.1999969482422,0
132,2024-02-05,170.1999969482422,170.30999755859375,1
250,2024-02-14,169.2100067138672,170.97999572753906,1
100,2024-02-23,174.27999877929688,174.99000549316406,1
192,2024-02-28,172.44000244140625,173.16000366210938,1
224,2024-03-01,176.75,178.22000122070312,1
175,2024-03-05,176.92999267578125,174.1199951171875,0
157,2024-03-06,175.5399932861328,173.50999450683594,0
341,2024-03-11,174.30999755859375,171.9600067138672,0
14,2024-03-14,177.69000244140625,178.75,1
147,2024-03-18,175.8000030517578,174.47999572753906,0
301,2024-03-20,176.13999938964844,178.14999389648438,1
123,2024-03-25,178.00999450683594,179.7100067138672,1
45,2024-03-26,180.1499938964844,178.3000030517578,0
285,2024-04-04,184.0,180.0,0
150,2024-04-15,187.42999267578125,183.6199951171875,0
70,2024-04-17,184.3099975585937,181.27999877929688,0
139,2024-04-19,178.74000549316406,174.6300048828125,0
104,2024-04-29,182.75,180.9600067138672,0
85,2024-05-14,183.82000732421875,187.07000732421875,1
74,2024-05-15,185.97000122070312,185.9900054931641,1
208,2024-05-30,181.3099975585937,179.32000732421875,0
168,2024-06-03,177.6999969482422,178.33999633789062,1
213,2024-06-07,184.8999938964844,184.3000030517578,0
